age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,outcome_object,location,operation,officer_defined_ethnicity,type,operation_name,object_of_search
25-34,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-01T14:09:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530565', 'street': {'id': 960903, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-0.124496'}",False,Other,Person search,,Controlled drugs
over 34,Summons / charged by post,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-01T14:05:00+00:00,,"{'id': 'bu-summons', 'name': 'Summons / charged by post'}","{'latitude': '51.530565', 'street': {'id': 960903, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-0.124496'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-01T15:14:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.524521', 'street': {'id': 960988, 'name': 'On or near Shopping Area'}, 'longitude': '-0.123836'}",False,Asian,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-01T17:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530361', 'street': {'id': 960919, 'name': ""On or near St Chad'S Place""}, 'longitude': '-0.120179'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-01T15:14:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.524521', 'street': {'id': 960988, 'name': 'On or near Shopping Area'}, 'longitude': '-0.123836'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-01T17:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530777', 'street': {'id': 960534, 'name': 'On or near Phoenix Road'}, 'longitude': '-0.132129'}",False,Black,Person search,,Offensive weapons
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-01T17:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530361', 'street': {'id': 960919, 'name': ""On or near St Chad'S Place""}, 'longitude': '-0.120179'}",False,Black,Person search,,Controlled drugs
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-01T20:01:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.523469', 'street': {'id': 960515, 'name': 'On or near Parking Area'}, 'longitude': '-0.126114'}",False,White,Person search,,Stolen goods
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-01T17:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530361', 'street': {'id': 960919, 'name': ""On or near St Chad'S Place""}, 'longitude': '-0.120179'}",False,Black,Person search,,Controlled drugs
18-24,Community resolution,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-01T21:00:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.526488', 'street': {'id': 960572, 'name': 'On or near Burton Place'}, 'longitude': '-0.127648'}",False,Asian,Person search,,Offensive weapons
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-02T21:59:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.526488', 'street': {'id': 960572, 'name': 'On or near Burton Place'}, 'longitude': '-0.127648'}",False,Black,Person search,,Offensive weapons
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-02T22:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.526488', 'street': {'id': 960572, 'name': 'On or near Burton Place'}, 'longitude': '-0.127648'}",False,White,Person search,,Offensive weapons
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-02T10:10:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,White,Person search,,Offensive weapons
25-34,Community resolution,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-02T14:05:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.548013', 'street': {'id': 967970, 'name': 'On or near Torriano Avenue'}, 'longitude': '-0.130832'}",False,Black,Person and Vehicle search,,Controlled drugs
25-34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-02T12:35:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.526642', 'street': {'id': 960926, 'name': 'On or near Regent Square'}, 'longitude': '-0.121515'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-02T17:18:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530777', 'street': {'id': 960534, 'name': 'On or near Phoenix Road'}, 'longitude': '-0.132129'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-02T18:11:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.543563', 'street': {'id': 964964, 'name': 'On or near Brandon Road'}, 'longitude': '-0.124726'}",False,White,Person search,,Controlled drugs
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-02T17:00:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.529035', 'street': {'id': 960682, 'name': 'On or near Cumberland Market'}, 'longitude': '-0.142508'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-01T17:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530361', 'street': {'id': 960919, 'name': ""On or near St Chad'S Place""}, 'longitude': '-0.120179'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-02T20:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,White,Person search,,Offensive weapons
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-02T20:05:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-02T19:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-02T22:55:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530581', 'street': {'id': 960961, 'name': ""On or near Gray'S Inn Road""}, 'longitude': '-0.122145'}",False,Other,Person search,,Offensive weapons
