combined_fips,votes_dem_2016,votes_gop_2016,total_votes_2016,Clinton,Trump,state_abbr,county_name,POP010210,AGE135214,AGE295214,age65plus,SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214,POP715213,POP645213,NonEnglish,Edu_highschool,Edu_batchelors,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,Income,INC110213,Poverty,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,Density
1001,5908,18110,24661,0.23956855,0.734357893,AL,Autauga County,54571,6,25.2,13.8,51.4,0.779,0.187,0.5,1.1,0.1,1.8,0.027,75.6,85,1.6,3.5,85.6,20.9,5922,26.2,22751,76.8,8.3,136200,20071,2.71,24571,53682,12.1,817,10120,2.1,2947,4067,15.2,0,1.3,0,0.7,31.7,0,0,598175,12003,88157,131,594.44,91.8
1003,18409,72780,94090,0.195653098,0.77351472,AL,Baldwin County,182265,5.6,22.2,18.7,51.2,0.871,0.096,0.7,0.9,0.1,1.6,0.046,83,82.1,3.6,5.5,89.1,27.7,19346,25.9,107374,72.6,24.4,168600,73283,2.52,26766,50221,13.9,4871,54988,3.7,16508,19035,2.7,0.4,1,0,1.3,27.3,1410273,0,2966489,17166,436955,1384,1589.78,114.6
1005,4848,5431,10390,0.466602502,0.522714148,AL,Barbour County,27457,5.7,21.2,16.5,46.6,0.502,0.476,0.6,0.5,0.2,0.9,0.045,46.6,84.8,2.9,5,73.7,13.4,2120,24.6,11799,67.7,10.6,89200,9200,2.66,16829,32911,26.7,464,6611,-5.6,1546,1667,0,0,0,0,0,27,0,0,188337,6334,0,8,884.88,31
1007,1874,6733,8748,0.214220393,0.769661637,AL,Bibb County,22915,5.3,21,14.8,45.9,0.763,0.221,0.4,0.2,0.1,0.9,0.021,74.5,86.6,1.2,2.1,77.5,12.1,1327,27.6,8978,79,7.3,90500,7091,3.03,17427,36447,18.1,275,3145,7.5,1126,1385,14.9,0,0,0,0,0,0,0,124707,5804,10757,19,622.58,36.8
1009,2150,22808,25384,0.084699023,0.898518752,AL,Blount County,57322,6.1,23.6,17,50.5,0.96,0.018,0.6,0.3,0.1,1.2,0.087,87.8,88.7,4.3,7.3,77,12.1,4540,33.9,23826,81,4.5,117100,21108,2.7,20730,44145,15.8,660,6798,3.4,3563,4458,0,0,0,0,0,23.2,341544,0,319700,5622,20941,3,644.78,88.9
1011,3530,1139,4701,0.750904063,0.242288875,AL,Bullock County,10914,6.3,21.4,14.9,45.3,0.269,0.701,0.8,0.3,0.7,1.1,0.075,22.1,84.7,5.4,5.2,67.8,12.5,636,26.9,4461,74.3,8.7,70600,3741,2.73,18628,32033,21.6,112,0,0,470,417,0,0,0,0,0,38.8,0,0,43810,3995,3670,1,622.81,17.5
1013,3716,4891,8685,0.427864134,0.563154865,AL,Butler County,20947,6.1,23.6,18,53.6,0.539,0.44,0.4,0.9,0,0.8,0.012,53.1,94.6,0.8,1.7,76.3,14,1497,24,9916,70.3,13.3,74700,8235,2.47,17403,29918,28.4,393,5711,2.7,1095,1769,0,0,3.3,0,0,0,399132,56712,229277,11326,28427,2,776.83,27
1015,13197,32803,47376,0.278558764,0.692396994,AL,Calhoun County,118572,5.7,22.2,16,51.8,0.758,0.211,0.5,0.9,0.1,1.7,0.035,72.9,83.6,2.4,4.5,78.6,16.1,11385,22.5,53289,68.7,13.8,100600,45196,2.54,20828,39962,21.9,2311,34871,0.6,6352,8713,7.2,0,1.6,0,0.5,24.7,2679991,0,1542981,13678,186533,114,605.87,195.7
1017,5763,7803,13778,0.418275512,0.56633764,AL,Chambers County,34215,5.9,21.4,18.3,52.3,0.583,0.395,0.3,0.8,0.1,1.1,0.02,56.8,85.8,1.1,1.3,75.1,11.8,2691,24.6,16894,67.9,11.1,81200,13722,2.46,19291,32402,24.1,515,6431,-0.2,2354,1981,0,0,0,0,0,29.3,667283,0,264650,7620,23237,8,596.53,57.4
1019,1524,8809,10503,0.1451014,0.838712749,AL,Cherokee County,25989,4.8,20.4,20.9,50.2,0.93,0.046,0.5,0.3,0,1.6,0.015,91.6,90.6,0.7,1.1,78.3,12.8,2174,26.9,16241,76.1,4.6,99400,11656,2.2,22030,34907,21.2,379,3864,5.5,1560,2180,0,0,0,0,0,14.5,307439,62293,186321,7613,13948,2,553.7,46.9
1021,2909,15068,18255,0.159353602,0.825417694,AL,Chilton County,43643,6.4,24.2,15.2,50.8,0.871,0.106,0.5,0.4,0.2,1.2,0.077,80.3,88.8,5.2,7.4,76,12.9,3308,31.8,19221,74.5,4.1,102600,16232,2.67,20701,41250,19.5,703,7396,8.8,2719,0,0,0,0,0,0,0,0,155139,359910,8496,34073,78,692.85,63
1023,3109,4102,7268,0.427765548,0.564391855,AL,Choctaw County,13859,4.9,20.6,20.8,52.5,0.566,0.424,0.2,0.3,0,0.5,0.008,56.1,91.4,0.3,1.3,75.2,11.8,938,33.4,7231,83.7,4,58200,5518,2.45,20323,33941,21.5,255,2900,1.4,809,1102,26.2,0,0,0,0,44.1,0,52904,84633,5969,11345,0,913.5,15.2
1025,5712,7109,12936,0.441558442,0.549551639,AL,Clarke County,25833,5.6,22.6,18,52.8,0.54,0.442,0.4,0.5,0,0.8,0.013,53.1,92.5,0.3,1.3,78.3,11.2,1583,25.5,12583,72.9,6.8,85600,9631,2.63,18979,29357,29.3,586,6648,3.7,1640,2374,0,0,0,0,0,28.6,571454,85803,344311,13034,23596,11,1238.47,20.9
1027,1234,5230,6572,0.187766281,0.795800365,AL,Clay County,13932,5.3,21.6,19.4,50.6,0.828,0.145,0.6,0.3,0,1.8,0.034,79.7,88.3,2.2,3.3,76.5,9.2,1076,30.7,6736,75,10,79900,5649,2.38,18694,34002,19,190,2993,4.6,792,1005,0,0,0,0,0,0,330878,0,70558,5123,4352,0,603.96,23.1
1029,684,5738,6532,0.104715248,0.878444581,AL,Cleburne County,14972,5.7,23.3,18.4,50.4,0.945,0.036,0.4,0.2,0.1,1.2,0.025,92.3,89.1,1.5,2.3,76,9,989,31.4,6690,77.6,6.3,100800,5601,2.64,19108,38019,18.4,152,1548,-4.8,930,1280,0,0,0,0,0,17.7,0,5888,133407,9080,4134,1,560.1,26.7
1031,4194,15825,20513,0.204455711,0.771462,AL,Coffee County,49948,6.1,23.7,15.9,50.5,0.764,0.177,1.4,1.6,0.4,2.5,0.064,71.3,83.3,5.1,7.5,82.4,22.5,6066,21.3,22852,69.9,13.5,131000,18820,2.65,23380,43768,18.6,954,12762,0.3,2602,4032,6,0,1.3,0,0.7,29.3,613758,131594,639623,13665,50080,58,678.97,73.6
